Time,Latitude,Longitude,Altitude,Speed,Bearing,Accuracy,beautiful,boring,depressing,lively,safety,wealthy,normalized_speed,Combined_Score
2020-01-02 15:08:57:614,30.55385166,114.4445456,10.53582764,3.37,183.2,3.216,27.964777,57.48384,51.057865,33.921303,40.444664,38.709145,93,39
2020-01-02 15:08:58:600,30.55381479,114.4445418,11.03671265,3.43,184.5,3.216,30.656942,56.205715,48.701134,33.95124,40.240997,41.66238,95,40
2020-01-02 15:09:00:591,30.55375169,114.4445298,11.12463379,3.23,186.1,3.216,29.934305,61.912285,54.629147,36.328403,33.71492,36.98757,90,37
2020-01-02 15:09:02:591,30.55369419,114.4445218,10.90927124,3.19,177.9,3.216,20.441576,58.81377,54.0063,34.007156,34.253952,40.679398,88,36
2020-01-02 15:09:04:591,30.55363768,114.4445145,10.76107788,3.19,184.1,3.216,33.614494,57.83659,57.904537,37.360516,34.438454,42.417847,88,39
2020-01-02 15:09:06:594,30.55358466,114.4445011,10.60662842,2.59,189.6,3.216,30.67837,59.94193,55.285248,30.307669,33.42011,28.83181,72,35
2020-01-02 15:09:17:591,30.55353722,114.4445182,10.56872559,1.61,165.2,3.216,21.64894,58.133923,57.744125,38.65327,41.944744,47.392815,45,39
2020-01-02 15:09:20:591,30.55348509,114.4445219,10.48449707,2.32,187.6,3.216,28.804747,68.0148,51.999393,30.037775,36.498573,36.022217,64,35
2020-01-02 15:09:22:590,30.55344073,114.4445155,10.33361816,2.53,175.9,3.216,27.527071,63.407757,53.032223,31.182526,37.80066,36.92122,70,36
2020-01-02 15:09:24:589,30.55339217,114.4445137,10.32263184,2.87,182.8,3.216,35.33654,66.30664,54.94975,36.0963,36.62659,32.53655,80,37
2020-01-02 15:09:26:590,30.55333887,114.4445081,10.58602905,2.73,182.2,3.216,28.45056,62.629505,51.792576,32.7283,43.44516,44.17809,76,39
2020-01-02 15:09:28:595,30.55328964,114.4445019,10.81625366,2.71,182.1,3.216,31.248772,65.43447,56.520348,34.792942,39.18052,37.843998,75,37
2020-01-02 15:09:30:592,30.55323777,114.4444956,10.63809204,2.86,179,3.216,22.84131,63.416885,58.168076,29.438242,38.49525,42.598164,79,35
2020-01-02 15:09:32:595,30.55318687,114.4444854,11.23239136,2.63,183.9,3.216,27.092463,58.752922,52.969017,37.878315,37.114487,35.164413,73,38
2020-01-02 15:09:34:593,30.55313497,114.444476,11.54632568,2.84,182.1,3.216,21.833986,57.94685,58.50716,39.483223,38.595253,38.291344,79,37
2020-01-02 15:09:36:596,30.55309184,114.4444663,12.35253906,2.51,188.8,3.216,24.512175,60.123573,51.194946,43.7707,37.226685,37.344856,70,39
2020-01-02 15:09:38:592,30.55305289,114.4444539,11.65356445,1.28,195,3.216,41.974873,59.665203,55.793278,21.672207,36.308598,30.104519,35,36
2020-01-02 15:09:41:591,30.55301975,114.4444324,11.69506836,1.18,209.1,3.216,34.61438,62.828823,52.75394,27.160994,29.498545,21.649277,33,33
2020-01-02 15:09:48:592,30.55298431,114.4444033,10.96209717,1.11,200.4,3.216,29.50817,58.630814,54.483154,29.659212,39.007763,31.931126,31,36
2020-01-02 15:10:22:592,30.55295426,114.4443779,11.10214233,0,0,3.216,29.05227,64.22594,59.57309,31.318161,37.272217,31.981688,0,34
2020-01-02 15:11:23:622,30.55290617,114.4443738,9.203552246,0.91,196.3,3.216,24.652344,64.62949,57.861565,27.081545,35.169064,35.327793,25,33
2020-01-02 15:11:26:613,30.55285826,114.4443545,10.40701294,2.14,205.5,3.216,24.83883,62.50416,51.222,30.51256,34.91988,37.279488,59,36
2020-01-02 15:11:28:610,30.55279712,114.4443224,10.28268433,3.37,204.9,3.216,33.04535,62.72197,56.38894,30.35835,31.101145,38.024162,93,36
2020-01-02 15:11:30:613,30.55273116,114.4442889,10.42971802,3.61,203.3,3.216,31.711712,60.124065,49.28865,30.254213,41.246117,42.063473,100,39
2020-01-02 15:11:32:602,30.55266759,114.4442622,10.75616455,3.58,198,3.216,25.3016,58.03379,51.842773,27.324469,33.21338,34.858307,99,35
2020-01-02 15:11:34:609,30.55260119,114.44424,10.63009644,3.72,198.4,3.216,28.428513,60.820683,57.650166,25.74971,31.034771,41.723793,103,35
2020-01-02 15:11:36:610,30.55253914,114.4442222,10.44070435,3.36,192.9,3.216,27.327265,63.626102,50.86686,27.101751,33.09053,38.57203,93,35
2020-01-02 15:11:38:611,30.55248455,114.4442079,10.91357422,2.11,195.6,3.216,27.410692,64.924934,59.47394,33.806374,34.817745,41.46304,58,36
2020-01-02 15:11:40:608,30.55244073,114.444193,10.52352905,2.27,200.4,3.216,26.998142,59.10039,47.986053,36.40779,39.068615,43.48582,63,40
2020-01-02 15:11:42:610,30.55239082,114.4441711,11.19058228,2.31,202,3.216,23.680698,61.094677,58.601326,25.358664,33.249603,37.37428,64,33
2020-01-02 15:11:44:608,30.55233344,114.4441387,12.28460693,2.37,205.3,3.216,32.706852,62.03899,57.482,28.223995,32.566113,41.742317,66,36
2020-01-02 15:11:46:612,30.55227288,114.4441064,11.79779053,2.46,202,3.216,35.956455,62.06705,54.608463,20.053312,34.41196,39.56746,68,36
2020-01-02 15:11:48:611,30.55221169,114.4440725,12.2098999,2.58,207,3.216,27.22654,63.841557,56.868553,27.096598,37.77817,39.291126,72,35
2020-01-02 15:11:49:607,30.55217873,114.4440545,12.42572021,2.62,205.4,3.216,29.231644,61.713085,55.61414,30.361713,32.94934,40.14581,73,36
2020-01-02 15:11:51:609,30.55211546,114.444018,11.93643188,2.94,208.1,3.216,35.11017,65.720924,49.64522,25.104563,36.658195,29.888588,81,35
2020-01-02 15:11:53:606,30.55206186,114.443973,11.40921021,2.97,219.4,3.216,26.307592,63.45428,53.12524,21.461212,35.785995,34.50794,82,34
2020-01-02 15:11:54:606,30.55202804,114.4439514,12.62249756,2.91,209,3.216,35.51527,62.921608,55.76367,23.087189,38.8062,40.139023,81,36
2020-01-02 15:11:56:609,30.55197629,114.4439103,10.87670898,2.52,214.1,3.216,26.373713,66.228294,55.257515,21.534498,32.372326,33.191044,70,32
2020-01-02 15:11:58:610,30.55192267,114.4438685,11.56033325,2.64,216.7,3.216,30.07345,67.57072,54.457966,22.367476,32.229923,34.247337,73,33
2020-01-02 15:12:00:609,30.55186454,114.4438249,12.02502441,2.73,212.1,3.216,29.30195,65.71977,52.747112,28.069391,36.794292,36.030144,76,35
2020-01-02 15:12:01:609,30.55182806,114.443795,11.355896,2.73,214.1,3.216,32.259983,59.9864,54.702145,26.20317,32.618874,41.333538,76,36
2020-01-02 15:12:02:601,30.55178305,114.4437634,12.31884766,3.46,208.3,3.216,21.922342,62.24692,57.92987,27.113367,36.93996,44.161922,96,35
